Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 20.30.00;2024-11-22 03.30.00;152671,2969;APF.P1;Voltage L-L Avg Low;V
2024-11-21 20.30.00;2024-11-22 03.30.00;152799,7656;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 20.45.00;2024-11-22 03.45.00;152985,125;APF.P1;Voltage L-L Avg High;V
2024-11-21 20.45.00;2024-11-22 03.45.00;152649,3281;APF.P1;Voltage L-L Avg Low;V
2024-11-21 20.45.00;2024-11-22 03.45.00;152803,625;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 21.00.00;2024-11-22 04.00.00;152840,0625;APF.P1;Voltage L-L Avg High;V
2024-11-21 21.00.00;2024-11-22 04.00.00;152405,8594;APF.P1;Voltage L-L Avg Low;V
2024-11-21 21.00.00;2024-11-22 04.00.00;152624,5;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 21.15.00;2024-11-22 04.15.00;152548,2969;APF.P1;Voltage L-L Avg High;V
2024-11-21 21.15.00;2024-11-22 04.15.00;152217,4375;APF.P1;Voltage L-L Avg Low;V
2024-11-21 21.15.00;2024-11-22 04.15.00;152410,3125;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 21.30.00;2024-11-22 04.30.00;152379,9531;APF.P1;Voltage L-L Avg High;V
2024-11-21 21.30.00;2024-11-22 04.30.00;151892;APF.P1;Voltage L-L Avg Low;V
2024-11-21 21.30.00;2024-11-22 04.30.00;152110,2031;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 21.45.00;2024-11-22 04.45.00;152005,3125;APF.P1;Voltage L-L Avg High;V
2024-11-21 21.45.00;2024-11-22 04.45.00;151666,9688;APF.P1;Voltage L-L Avg Low;V
2024-11-21 21.45.00;2024-11-22 04.45.00;151803,8281;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 22.00.00;2024-11-22 05.00.00;152181,0625;APF.P1;Voltage L-L Avg High;V
2024-11-21 22.00.00;2024-11-22 05.00.00;151569,6094;APF.P1;Voltage L-L Avg Low;V
2024-11-21 22.00.00;2024-11-22 05.00.00;151799,9531;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 22.15.00;2024-11-22 05.15.00;152221,4219;APF.P1;Voltage L-L Avg High;V
2024-11-21 22.15.00;2024-11-22 05.15.00;151857,5781;APF.P1;Voltage L-L Avg Low;V
2024-11-21 22.15.00;2024-11-22 05.15.00;152015,7344;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 22.30.00;2024-11-22 05.30.00;152061,2344;APF.P1;Voltage L-L Avg High;V
2024-11-21 22.30.00;2024-11-22 05.30.00;151705,625;APF.P1;Voltage L-L Avg Low;V
2024-11-21 22.30.00;2024-11-22 05.30.00;151852,9063;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 22.45.00;2024-11-22 05.45.00;151979,4063;APF.P1;Voltage L-L Avg High;V
2024-11-21 22.45.00;2024-11-22 05.45.00;151628,5469;APF.P1;Voltage L-L Avg Low;V
2024-11-21 22.45.00;2024-11-22 05.45.00;151862,6875;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 23.00.00;2024-11-22 06.00.00;152117,6094;APF.P1;Voltage L-L Avg High;V
2024-11-21 23.00.00;2024-11-22 06.00.00;151724,8906;APF.P1;Voltage L-L Avg Low;V
2024-11-21 23.00.00;2024-11-22 06.00.00;151932,5469;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 23.15.00;2024-11-22 06.15.00;152042,2813;APF.P1;Voltage L-L Avg High;V
2024-11-21 23.15.00;2024-11-22 06.15.00;151647,4063;APF.P1;Voltage L-L Avg Low;V
